local_enterprise_partnership_code,local_enterprise_partnership_name,starts,achievements,achievement_rate,dropoff_rate
E37000001,Black Country,7650,4430,0.579084967,0.420915033
E37000043,Buckinghamshire Thames Valley,2990,1650,0.551839465,0.448160535
E37000003,Cheshire and Warrington,6220,3580,0.575562701,0.424437299
E37000044,Coast to Capital,7920,4380,0.553030303,0.446969697
E37000005,Cornwall and Isles of Scilly,3580,2100,0.586592179,0.413407821
E37000006,Coventry and Warwickshire,6100,3540,0.580327869,0.419672131
E37000007,Cumbria,4310,2380,0.552204176,0.447795824
E37000045,"Derby, Derbyshire, Nottingham and Nottinghamshire",14450,8630,0.597231834,0.402768166
E37000009,Dorset,5690,3000,0.527240773,0.472759227
E37000046,Enterprise M3,9300,4900,0.52688172,0.47311828
E37000011,Gloucestershire,4270,2210,0.517564403,0.482435597
E37000012,Greater Birmingham and Solihull,12570,7090,0.564041368,0.435958632
E37000059,Greater Cambridge and Greater Peterborough,5030,2630,0.522862823,0.477137177
E37000060,Greater Lincolnshire,7080,4130,0.583333333,0.416666667
E37000015,Greater Manchester,18900,10720,0.567195767,0.432804233
E37000016,Heart of the South West,12710,7150,0.562549174,0.437450826
E37000048,Hertfordshire,6580,3510,0.53343465,0.46656535
E37000061,Hull and East Yorkshire,4910,2920,0.594704684,0.405295316
E37000019,Lancashire,11090,6330,0.570784491,0.429215509
E37000062,Leeds City Region,15930,9230,0.579409918,0.420590082
E37000021,Leicester and Leicestershire,6630,3730,0.562594268,0.437405732
E37000022,Liverpool City Region,10060,5480,0.54473161,0.45526839
E37000051,London,40380,20820,0.515601783,0.484398217
E37000052,New Anglia,9740,5820,0.597535934,0.402464066
E37000025,North East,13750,8260,0.600727273,0.399272727
E37000053,Oxfordshire,4120,2310,0.560679612,0.439320388
E37000054,Sheffield City Region,8860,5030,0.56772009,0.43227991
E37000055,Solent,9310,5810,0.62406015,0.37593985
E37000056,South East,25580,14040,0.548866302,0.451133698
E37000057,South East Midlands,11140,6040,0.542190305,0.457809695
E37000032,Stoke-on-Trent and Staffordshire,8390,4780,0.569725864,0.430274136
E37000033,Swindon and Wiltshire,6010,3040,0.505823627,0.494176373
E37000034,Tees Valley,4820,2910,0.60373444,0.39626556
E37000035,Thames Valley Berkshire,5480,2920,0.532846715,0.467153285
E37000036,The Marches,5310,3380,0.63653484,0.36346516
E37000037,West of England,7530,4130,0.548472776,0.451527224
E37000038,Worcestershire,3790,2150,0.567282322,0.432717678
E37000058,"York, North Yorkshire and East Riding",6620,4070,0.614803625,0.385196375
