"time_period","time_identifier","geographic_level","country_name","country_code","age_youth_adult","age_summary","ssa_tier_1","learner_home_depriv","apps_level","apps_level_detailed","participation","starts","achievements"
201920,Academic year,National,England,E92000001,Total,Total,"Total",Total,Total,Total,718950,322530,146900
201920,Academic year,National,England,E92000001,Total,Total,"Total",One (most deprived),Total,Total,149370,66300,30530
201920,Academic year,National,England,E92000001,Total,Total,"Total",Two,Total,Total,145250,64730,29090
201920,Academic year,National,England,E92000001,Total,Total,"Total",Three,Total,Total,146560,66130,30560
201920,Academic year,National,England,E92000001,Total,Total,"Total",Four,Total,Total,141930,64100,28870
201920,Academic year,National,England,E92000001,Total,Total,"Total",Five (least deprived),Total,Total,129330,58040,26660
201920,Academic year,National,England,E92000001,Total,Total,"Total",Unknown,Total,Total,6520,3230,1190
201920,Academic year,National,England,E92000001,Total,Total,"Total",Total,Intermediate Apprenticeship,Total,225320,99220,61630
201920,Academic year,National,England,E92000001,Total,Total,"Total",One (most deprived),Intermediate Apprenticeship,Total,55820,23770,14600
201920,Academic year,National,England,E92000001,Total,Total,"Total",Two,Intermediate Apprenticeship,Total,46030,19640,12110
201920,Academic year,National,England,E92000001,Total,Total,"Total",Three,Intermediate Apprenticeship,Total,46670,20950,13130
201920,Academic year,National,England,E92000001,Total,Total,"Total",Four,Intermediate Apprenticeship,Total,41750,18910,11650
201920,Academic year,National,England,E92000001,Total,Total,"Total",Five (least deprived),Intermediate Apprenticeship,Total,33630,15250,9830
201920,Academic year,National,England,E92000001,Total,Total,"Total",Unknown,Intermediate Apprenticeship,Total,1410,690,310
201920,Academic year,National,England,E92000001,Total,Total,"Total",Total,Intermediate Apprenticeship,Level 2,z,99220,61630
201920,Academic year,National,England,E92000001,Total,Total,"Total",One (most deprived),Intermediate Apprenticeship,Level 2,z,23770,14600
201920,Academic year,National,England,E92000001,Total,Total,"Total",Two,Intermediate Apprenticeship,Level 2,z,19640,12110
201920,Academic year,National,England,E92000001,Total,Total,"Total",Three,Intermediate Apprenticeship,Level 2,z,20950,13130
201920,Academic year,National,England,E92000001,Total,Total,"Total",Four,Intermediate Apprenticeship,Level 2,z,18910,11650
201920,Academic year,National,England,E92000001,Total,Total,"Total",Five (least deprived),Intermediate Apprenticeship,Level 2,z,15250,9830
